구분,건물명,지번주소,도로명주소,동수,층수,세대수,연면적(제곱미터),준공일자,담당자 연락처,데이터기준일자
아파트,부강아파트,신천동 27-2,신천로80번길 14,2,5,80 ,4872 ,1989-11-01,031-310-2402,2025-07-14
아파트,광덕아파트,은행동 276-13,검바위2로 31-2,1,5,20 ,1462 ,1989-11-01,031-310-2402,2025-07-14
아파트,산호1차,은행동 243-1,수인로3247번길 30,2,5,70 ,4532 ,1989-11-22,031-310-2402,2025-07-14
아파트,동경5차,은행동 241,수인로3247번길 36,2,5,60 ,4559 ,1989-12-22,031-310-2402,2025-07-14
아파트,대보아파트,신천동 848-5,포도원로109번길 24,2,5,70 ,4527 ,1989-12-27,031-310-2402,2025-07-14
아파트,영동아파트,매화동 265-17,매화로39번길 41,1,5,30 ,2041 ,1990-01-05,031-310-2402,2025-07-14
아파트,산호2차,은행동 241-1,수인로3247번길 34,2,5,90 ,6201 ,1990-03-05,031-310-2402,2025-07-14
아파트,가야아파트,조남동 171-2,목감초등길 46,2,5,109 ,8516 ,1990-04-14,031-310-2402,2025-07-14
아파트,가야아파트,조남동 171-21,목감초등길 48,2,6,80 ,5014 ,1990-04-14,031-310-2402,2025-07-14
아파트,대원아파트,매화동 241-8,매화2로23번길 9,3,5,75 ,5223 ,1990-04-17,031-310-2402,2025-07-14
아파트,신성아파트,은행동 289-31,검바위2로 11-4,1,5,70 ,4729 ,1990-06-28,031-310-2402,2025-07-14
아파트,동경6차,은행동 272-1,검바위2로 32-8,1,6,72 ,5986 ,1990-08-20,031-310-2402,2025-07-14
아파트,금보아파트,신천동 828-4,수인로3409번길 58,2,5,110 ,7747 ,1990-09-06,031-310-2402,2025-07-14
아파트,진양6차,매화동 262-1,매화로 49,2,6,156 ,10285 ,1990-11-26,031-310-2402,2025-07-14
아파트,대명아파트,목감동 242-9,동서로 1076,1,15,195 ,18894 ,1990-12-14,031-310-2402,2025-07-14
아파트,동진아파트,신천동 832-2,신흥마을1길 13,5,5,196 ,15392 ,1990-12-30,031-310-2402,2025-07-14
아파트,한영아파트,신천동 857-2,신천로44번길 23,2,6,96 ,7122 ,1991-01-14,031-310-2402,2025-07-14
아파트,우진아파트,신천동 860-1,수인로3325번길 36,1,6,84 ,5674 ,1991-01-19,031-310-2402,2025-07-14
아파트,서능1차,매화동 207,매화2로 20,3,5,199 ,14182 ,1991-01-21,031-310-2402,2025-07-14
아파트,경신아파트,신천동 852-16,수인로3325번길 30,2,6,133 ,10926 ,1991-01-21,031-310-2402,2025-07-14
아파트,아주2차,거모동 1731-1,군자로504번안길 19,1,7,82 ,7983 ,1991-02-05,031-310-2402,2025-07-14
아파트,동진아파트,신천동 858,신천로44번길 17,3,6,240 ,17945 ,1991-02-13,031-310-2402,2025-07-14
아파트,삼보아파트,대야동 275,은행로 188-15,6,6,299 ,28344 ,1991-03-06,031-310-2402,2025-07-14
아파트,부국아파트,미산동 산15-1,미산로143번길 10,3,6,200 ,11987 ,1991-04-22,031-310-2402,2025-07-14
아파트,태헌1차,포동 1-36,신현로14번길 5,2,6,168 ,12297 ,1991-05-15,031-310-2402,2025-07-14
아파트,삼보아파트,대야동 275-22,은행로 188-15,1,6,36 ,3517 ,1991-06-08,031-310-2402,2025-07-14
아파트,동진아파트,신천동 829,수인로3409번길 54,2,6,168 ,13142 ,1991-06-21,031-310-2402,2025-07-14
아파트,광덕2차,은행동 99-16,은행로 96,1,12,84 ,8269 ,1991-09-16,031-310-2402,2025-07-14
아파트,태헌2차,포동 2,신현로14번길 12,2,6,144 ,10933 ,1991-10-17,031-310-2402,2025-07-14
아파트,거모동원아파트,거모동 1769-1,도일로112번안길 22,3,15,416 ,33597 ,1991-12-09,031-310-2402,2025-07-14
아파트,벽산1차아파트,대야동 278,은행로216번길 13,3,15,246 ,24436 ,1992-02-07,031-310-2402,2025-07-14
아파트,산호1차아파트,논곡동 160-7,동서로 1107,1,16,260 ,24149 ,1992-03-17,031-310-2402,2025-07-14
아파트,태헌3차,포동 1-71,신현로12번길 8-1,3,6,252 ,20137 ,1992-05-01,031-310-2402,2025-07-14
아파트,두성아파트,포동 1-66,,1,4,15 ,599 ,1992-05-16,031-310-2402,2025-07-14
아파트,아주3차아파트,거모동 1734-2,한우물로 35,1,18,180 ,15234 ,1992-06-29,031-310-2402,2025-07-14
아파트,경신아파트,미산동 64,미산로 85-2,2,6,186 ,15581 ,1992-08-29,031-310-2402,2025-07-14
아파트,거모녹원아파트,거모동 1765-5,군자로534번안길 18-9,2,14,220 ,26797 ,1992-10-31,031-310-2402,2025-07-14
아파트,동진아파트,포동 13-2,신현로38번길 29,3,5,192 ,16279 ,1992-11-03,031-310-2402,2025-07-14
아파트,서능2차,매화동 220-1,매화2로 30,3,6,144 ,13698 ,1992-11-16,031-310-2402,2025-07-14
아파트,동진아파트,매화동 194-1,매화로 41 ,1,13,93 ,8905 ,1993-03-10,031-310-2402,2025-07-14
아파트,아주4차401동,거모동 1735-2,도일로135번길 42,1,17,119 ,15761 ,1993-07-15,031-310-2402,2025-07-14
아파트,아주4차402동,거모동 1736-1,도일로135번길 41,1,18,180 ,16600 ,1993-07-15,031-310-2402,2025-07-14
아파트,태산아파트,포동 13-3,신현로38번길 23,4,20,954 ,97707 ,1993-11-12,031-310-2402,2025-07-14
아파트,수정아파트,조남동 171-20,목감초등길 28,1,18,152 ,14988 ,1994-09-12,031-310-2402,2025-07-14
아파트,한미아파트,신천동 844-10,포도원로 71-1,1,6,48 ,3947 ,1994-09-17,031-310-2402,2025-07-14
아파트,아주5차,거모동 1740-3,군자로504번길 25,1,17,136 ,14641 ,1994-10-01,031-310-2402,2025-07-14
아파트,시화 아주아파트,정왕동 1394,정왕신길로139번길 4,2,25,534 ,53567 ,1994-12-19,031-310-2402,2025-07-14
아파트,금강1차아파트,매화동 361-6,매화우회로 63,2,12,159 ,19405 ,1994-12-31,031-310-2402,2025-07-14
아파트,현진1차아파트,신천동 780,수인로3325번길 9,2,6,168 ,13771 ,1995-04-30,031-310-2402,2025-07-14
아파트,보우아파트,거모동 1741-1,군자로504번길 9,1,18,131 ,11396 ,1995-06-21,031-310-2402,2025-07-14
아파트,서강1차아파트,대야동 568-4,은행로218번길 4,1,16,176 ,13887 ,1995-06-23,031-310-2402,2025-07-14
아파트,늘푸른 벽산아파트,대야동 570-2,은행로 233,5,18,324 ,49894 ,1995-06-29,031-310-2402,2025-07-14
아파트,청구1차아파트,대야동 570-1,은행로 243-17,5,21,324 ,49134 ,1995-08-31,031-310-2402,2025-07-14
아파트,성원아파트,은행동 538-2,은행로149번길 3,5,18,660 ,54644 ,1995-08-31,031-310-2402,2025-07-14
아파트,신명아파트,은행동 538-1,은행로149번길 13,2,20,460 ,36850 ,1995-10-06,031-310-2402,2025-07-14
아파트,우성2차아파트,대야동 569-1,은행로 208,5,19,541 ,45733 ,1995-10-31,031-310-2402,2025-07-14
아파트,상아그린아파트,미산동 82-14,미산로 69번길 4,1,20,170 ,15582 ,1995-11-16,031-310-2402,2025-07-14
아파트,월드아파트,정왕동 1873-3,옥구천동로 404,14,10,594 ,51579 ,1995-12-09,031-310-2402,2025-07-14
아파트,우성1차아파트,대야동 567-2,은행로 222,3,20,188 ,10498 ,1995-12-15,031-310-2402,2025-07-14
아파트,시화영남4차,정왕동 1394-2,정왕신길로139번길 16,10,10,330 ,29789 ,1996-02-28,031-310-2402,2025-07-14
아파트,시화영남3차,정왕동 1872-4,역전로 353,13,10,520 ,44357 ,1996-02-28,031-310-2402,2025-07-14
아파트,시화 영남2단지,정왕동 1873-2,옥구천동로 420,17,10,600 ,50940 ,1996-02-28,031-310-2402,2025-07-14
아파트,시화영남1차,정왕동 1875-1,정왕신길로49번길 8,10,10,390 ,33123 ,1996-02-28,031-310-2402,2025-07-14
아파트,시화 두산아파트,정왕동 1786,중심상가로 286,25,10,930 ,69892 ,1996-03-30,031-310-2402,2025-07-14
아파트,시화 삼성아파트,정왕동 1872-5,정왕신길로139번길 7,9,10,320 ,39016 ,1996-04-15,031-310-2402,2025-07-14
아파트,한신아파트,정왕동 1872-6,정왕신길로111번길 8,10,10,406 ,39489 ,1996-04-25,031-310-2402,2025-07-14
아파트,무진아파트,정왕동 1629,중심상가로 350,11,10,488 ,38420 ,1996-07-27,031-310-2402,2025-07-14
아파트,시화 한일아파트,정왕동 1865,정왕대로53번길 29,18,10,580 ,59309 ,1996-07-30,031-310-2402,2025-07-14
아파트,시화 대우아파트,정왕동 1788-3,정왕대로298번길 6,5,10,176 ,21294 ,1996-08-30,031-310-2402,2025-07-14
아파트,금강아파트,정왕동 1789,정왕대로266번길 6,21,10,730 ,74730 ,1996-08-30,031-310-2402,2025-07-14
아파트,유천아파트,정왕동 1628,중심상가로 349,16,10,580 ,55579 ,1996-09-09,031-310-2402,2025-07-14
아파트,시화영남5차,정왕동 1866-6,옥구천서로373번길 8-1,11,10,330 ,45618 ,1996-09-25,031-310-2402,2025-07-14
아파트,대우아파트,은행동 546,은행로 122,5,20,418 ,44091 ,1996-10-07,031-310-2402,2025-07-14
아파트,신동아1차,정왕동 1940-1,정왕대로27번길 31,8,10,310 ,35297 ,1996-10-31,031-310-2402,2025-07-14
아파트,신동아2차,정왕동 1940-2,정왕대로27번길 9,13,10,480 ,54155 ,1996-10-31,031-310-2402,2025-07-14
아파트,상아아파트,신천동 827-2,신흥마을1길 37,1,20,120 ,15582 ,1996-11-13,031-310-2402,2025-07-14
아파트,신우아파트,정왕동 1870-1,정왕대로117번길 32,6,10,200 ,27703 ,1996-11-14,031-310-2402,2025-07-14
아파트,시화 미주아파트,정왕동 1875-2,정왕신길로49번길 26,14,10,492 ,51615 ,1996-11-28,031-310-2402,2025-07-14
아파트,세종1차아파트,정왕동 1877-3,함송로29번길 54,19,10,460 ,55857 ,1996-11-29,031-310-2402,2025-07-14
아파트,대야우남한신아파트,대야동 288외 7필지,서해안로1670번길 12,2,19,172 ,19077 ,1996-12-14,031-310-2402,2025-07-14
아파트,우남한신 아파트,신천동 871-1,시흥대로1073번길 39,1,21,186 ,21526 ,1996-12-30,031-310-2402,2025-07-14
아파트,포동서강아파트,포동 1-63,신현로12번길 30,3,18,197 ,18630 ,1997-01-10,031-310-2402,2025-07-14
아파트,시화 신호아파트,정왕동 1867-3,옥구천서로373번길 7,11,10,330 ,48030 ,1997-04-15,031-310-2402,2025-07-14
아파트,동보아파트,정왕동 1942-2,정왕대로28번길 28,14,10,560 ,44660 ,1997-05-23,031-310-2402,2025-07-14
아파트,삼호아파트,조남동 169,목감초등길 4,2,25,362 ,31140 ,1997-05-28,031-310-2402,2025-07-14
아파트,산호아파트,신천동 870-2,시흥대로1073번길 40,1,19,114 ,14812 ,1997-06-26,031-310-2402,2025-07-14
아파트,시화 모아아파트,정왕동 1876-2,함송로 36,14,10,386 ,32504 ,1997-07-11,031-310-2402,2025-07-14
아파트,계룡1차아파트,정왕동 1846,중심상가로 125,21,10,620 ,65311 ,1997-07-18,031-310-2402,2025-07-14
아파트,뉴월드 아파트,신천동 869-2,신천로25번길 1-1,2,20,216 ,26100 ,1997-07-26,031-310-2402,2025-07-14
아파트,청구2차아파트,대야동 547,비둘기공원7길 47-1,3,19,266 ,30720 ,1997-07-29,031-310-2402,2025-07-14
아파트,청구아파트,대야동 548,비둘기공원7길 37,3,17,196 ,30445 ,1997-07-29,031-310-2402,2025-07-14
아파트,시화 영남6차,정왕동 1790,"중심상가로 224	228",20,10,820 ,66125 ,1997-07-29,031-310-2402,2025-07-14
아파트,건영1차,정왕동 1785-1,중심상가로 285,21,10,770 ,84526 ,1997-08-02,031-310-2402,2025-07-14
아파트,화성아파트,정왕동 1874-2,역전로 375-8,11,10,420 ,58583 ,1997-08-08,031-310-2402,2025-07-14
아파트,진로아파트,정왕동 1848-4,"중심상가로 104	106",9,10,330 ,30397 ,1997-08-20,031-310-2402,2025-07-14
아파트,신한아파트,정왕동 1874-1,옥구천동로 452,7,10,240 ,39705 ,1997-08-29,031-310-2402,2025-07-14
아파트,세종2차아파트,정왕동 1877-2,함송로29번길 38,11,10,330 ,37745 ,1997-08-29,031-310-2402,2025-07-14
아파트,에이스,도창동 65,매화로 145,9,20,798 ,97636 ,1997-08-30,031-310-2402,2025-07-14
아파트,금강2차아파트,매화동 289-1,수인로2857번길 44,1,18,152 ,17308 ,1997-08-30,031-310-2402,2025-07-14
아파트,대우2차,은행동 543-1,은행로144번길 21-1,4,19,292 ,24931 ,1997-09-06,031-310-2402,2025-07-14
아파트,요진아파트,정왕동 1850,중심상가로 77,22,10,580 ,63639 ,1997-09-09,031-310-2402,2025-07-14
아파트,건영2차,정왕동 1875-5,옥구천동로 399,21,10,710 ,77193 ,1997-09-27,031-310-2402,2025-07-14
아파트,대림4차,정왕동 1878-8,함송로29번길 51,13,10,400 ,65003 ,1997-09-27,031-310-2402,2025-07-14
아파트,주공1단지,정왕동 1864,정왕대로53번길 7,18,10,690 ,69854 ,1997-10-21,031-310-2402,2025-07-14
아파트,주공2단지,정왕동 1868,정왕대로117번길 9,19,10,680 ,71279 ,1997-10-21,031-310-2402,2025-07-14
아파트,주공3단지,정왕동 1869,정왕대로117번길 31,18,10,630 ,66245 ,1997-10-21,031-310-2402,2025-07-14
아파트,서해1차아파트,정왕동 1886-3,정왕신길로49번길 39,17,10,530 ,54967 ,1997-10-23,031-310-2402,2025-07-14
아파트,서해아파트,대야동 563,비둘기공원7길 19,5,20,615 ,53625 ,1997-11-14,031-310-2402,2025-07-14
아파트,두산아파트,은행동 542,대은로104번길 25,5,20,438 ,52105 ,1997-11-14,031-310-2402,2025-07-14
아파트,은행녹원아파트,은행 289-33,검바위2로 18,2,20,299 ,34430 ,1997-11-15,031-310-2402,2025-07-14
아파트,시화 삼환아파트,정왕동 1876-1,옥구천동로 433-26,8,10,350 ,27960 ,1997-11-28,031-310-2402,2025-07-14
아파트,서강2차아파트,대야동 564,은행로 232,4,19,582 ,52462 ,1997-12-06,031-310-2402,2025-07-14
아파트,부성파스텔,정왕동 1876-3,옥구천동로 451,21,10,600 ,54486 ,1997-12-20,031-310-2402,2025-07-14
아파트,대림2차,정왕동 1851,중심상가로 74,17,10,690 ,56070 ,1998-02-19,031-310-2402,2025-07-14
아파트,벽산3차아파트,은행동 547-1,은행로 108,4,20,352 ,46269 ,1998-03-20,031-310-2402,2025-07-14
아파트,대림3차,정왕동 1878-4,함송로29번길 37,9,10,280 ,42842 ,1998-03-20,031-310-2402,2025-07-14
아파트,시화 동원아파트,정왕동 1878-5,봉화로18,10,10,358 ,48687 ,1998-03-20,031-310-2402,2025-07-14
아파트,대림1차,정왕동 1863,정왕대로28번길 5,21,10,660 ,60884 ,1998-03-25,031-310-2402,2025-07-14
아파트,유호아파트,거모동 1715-2,황고개로206번길 43,3,20,457 ,48421 ,1998-03-31,031-310-2402,2025-07-14
아파트,삼화아파트,매화동 260-1,매화로 58,1,16,141 ,15114 ,1998-04-27,031-310-2402,2025-07-14
아파트,고합아파트,정왕동 1886-5,정왕신길로49번길 7,12,10,400 ,41915 ,1998-04-27,031-310-2402,2025-07-14
아파트,시화 계룡2차아파트,정왕동 1942-1,정왕대로28번길 8,20,10,630 ,60647 ,1998-04-27,031-310-2402,2025-07-14
아파트,현진2차아파트,신천동 782-1,신천로44번길 36,2,6,96 ,8215 ,1998-05-09,031-310-2402,2025-07-14
아파트,동남아파트,정왕동 1862,정왕대로28번길 29,16,10,720 ,57212 ,1998-05-25,031-310-2402,2025-07-14
아파트,세종3차,정왕동 1849-6,중심상가로 105,9,10,279 ,43290 ,1998-06-27,031-310-2402,2025-07-14
아파트,서해2차,정왕동 1886-4,정왕신길로49번길 21,18,10,570 ,66426 ,1998-07-25,031-310-2402,2025-07-14
아파트,주공4단지,정왕동 1843,정왕대로143번길 32,15,10,610 ,60795 ,1998-10-19,031-310-2402,2025-07-14
아파트,주공5단지,정왕동 1844,정왕대로143번길 8,17,10,690 ,68741 ,1998-10-19,031-310-2402,2025-07-14
아파트,대우3차,은행동 550,"은행로107(1단지)	 대은로 62(2단지)",11,20,1272 ,152330 ,1998-10-26,031-310-2402,2025-07-14
아파트,주공6단지,정왕동 1787-1,중심상가로 248,13,10,490 ,48269 ,1998-11-16,031-310-2402,2025-07-14
아파트,시화 보성아파트,정왕동 1877-5,함송로 63,18,10,760 ,69850 ,1998-12-26,031-310-2402,2025-07-14
아파트,매꼴마을 삼성아파트,장곡동 805,인선길 77,7,20,574 ,70166 ,1999-04-16,031-310-2402,2025-07-14
아파트,연꽃마을 금호아파트,하상동 369,하상로 36,9,19,822 ,90582 ,1999-05-20,031-310-2402,2025-07-14
아파트,"진말 대우	 우성아파트",장곡동 828,진말로 36-1,10,20,640 ,93665 ,1999-06-29,031-310-2402,2025-07-14
아파트,청솔 ,정왕동 1847,중심상가로 128,12,10,750 ,55960 ,1999-08-20,031-310-2402,2025-07-14
아파트,새재마을 대동아파트,장현동 540,시청로 59,6,20,480 ,58354 ,1999-08-25,031-310-2402,2025-07-14
아파트,숲속마을 1단지,장곡동 807,장곡로53번길 10,18,18,1246 ,155811 ,1999-08-30,031-310-2402,2025-07-14
아파트,산호아파트 (2차),논곡동 280,수인로2431번길 13,1,12,92 ,11992 ,1999-08-31,031-310-2402,2025-07-14
아파트,진말 삼환.한진아파트,장곡동 829,진말로 46,10,20,799 ,89294 ,1999-09-27,031-310-2402,2025-07-14
아파트,"숲속마을 벽산	삼익",장곡동 806,인선길 63,12,20,856 ,97458 ,1999-10-30,031-310-2402,2025-07-14
아파트,관곡마을 성원아파트,하중1동 827,하중로133번길 8,8,19,498 ,54880 ,1999-10-30,031-310-2402,2025-07-14
아파트,참이슬,하중2동 855,하중로209번길 9,12,20,944 ,130154 ,1999-10-30,031-310-2402,2025-07-14
아파트,거모동보아파트,거모동 612-1,군자로335번길 11,7,20,1392 ,91981 ,1999-11-04,031-310-2402,2025-07-14
아파트,"연꽃마을 대우	삼호",하상동 368,관곡지로 222,11,20,1044 ,115192 ,1999-11-19,031-310-2402,2025-07-14
아파트,매꼴마을 동양아파트,장곡동 804,인선길 111,5,20,414 ,47517 ,1999-11-29,031-310-2402,2025-07-14
아파트,관곡마을 동아아파트,하중동 826-1,하중로133번길 19,4,20,503 ,49749 ,2000-05-29,031-310-2402,2025-07-14
아파트,극동아파트,대야동 332-13,소래산길 18,5,19,350 ,42086 ,2000-07-14,031-310-2402,2025-07-14
아파트,진말대우3차아파트,장곡동 824,진말로 10,7,15,518 ,66089 ,2000-11-28,031-310-2402,2025-07-14
아파트,건영4차,정왕동 1871-5,정왕대로143번길 9,6,10,240 ,32519 ,2000-12-08,031-310-2402,2025-07-14
아파트,매화마을 홍익아파트,매화동 367외6,매화우회로 37,2,24,285 ,30364 ,2000-12-29,031-310-2402,2025-07-14
아파트,건영7차,정왕동 1867-1,정왕대로53번길 4,3,10,140 ,17108 ,2001-01-31,031-310-2402,2025-07-14
아파트,우남아파트,은행동 599번지,대은로104번길 11,5,19,346 ,42005 ,2001-09-05,031-310-2402,2025-07-14
아파트,새재마을 청구아파트,장현동 540,시청로 71,7,20,478 ,56820 ,2001-12-12,031-310-2402,2025-07-14
아파트,영화아파트,정왕동 1870-3,정왕대로143번길 35,5,10,210 ,20494 ,2002-04-01,031-310-2402,2025-07-14
아파트,문영센스빌아파트,정왕동 1877-1,함송로 35,12,10,410 ,32323 ,2002-05-25,031-310-2402,2025-07-14
아파트,건영3차,정왕동 1871-1,정왕대로117번길 10,7,10,210 ,30068 ,2002-06-19,031-310-2402,2025-07-14
아파트,건영5차,정왕동 1788-1,중심상가로 40,11,10,340 ,47815 ,2002-07-10,031-310-2402,2025-07-14
아파트,샛말대우4차,하중동 858,연성로13번길 36,2,20,256 ,28634 ,2002-08-24,031-310-2402,2025-07-14
아파트,풍림1차 아파트,월곶동 1010-4,월곶중앙로70번길 11,16,20,2560 ,260818 ,2002-12-04,031-310-2402,2025-07-14
아파트,태평아파트,하상동 382,상직길 4,5,20,368 ,44361 ,2003-04-10,031-310-2402,2025-07-14
아파트,연꽃마을 태평아파트,하상동 383,상직길 9,2,20,194 ,31796 ,2003-04-10,031-310-2402,2025-07-14
아파트,풍림아파트,은행동 250-5의 36필지,수인로3247번길 62,2,15,264 ,31947 ,2003-12-05,031-310-2402,2025-07-14
아파트,동신아파트,대야동 639,대은로103번길 4,4,20,229 ,32408 ,2004-06-28,031-310-2402,2025-07-14
아파트,대우4차(푸르지오),은행동 599-1,은행로 93-1,16,20,1216 ,167995 ,2004-07-30,031-310-2402,2025-07-14
아파트,월곶풍림2차 아파트,월곶동 1010-1,월곶중앙로14번길 87,15,20,1725 ,182734 ,2005-02-21,031-310-2402,2025-07-14
아파트,풍림3차 아파트,월곶동 1016,월곶중앙로 11,7,15,560 ,78303 ,2005-03-28,031-310-2402,2025-07-14
아파트,경남아너스빌,신천동 943-1,시흥대로 1119-3,6,15,369 ,54683 ,2005-06-14,031-310-2402,2025-07-14
아파트,풍림4차 아파트,월곶동 994,월곶중앙로14번길 9,7,25,683 ,101235 ,2006-11-20,031-310-2402,2025-07-14
아파트,예스라이프아파트,은행동 105-13,은행로65번길 4-1,1,15,134 ,15789 ,2008-03-07,031-310-2402,2025-07-14
아파트,삼성홈타운,"은행동 289-11	50",검바위1로 19,3,17,165 ,21924 ,2008-05-02,031-310-2402,2025-07-14
아파트,엘드수목토아파트,능곡동 789,능곡로133,7,15,272 ,46624 ,2008-10-14,031-310-2402,2025-07-14
아파트,휴먼시아 13단지,능곡동 800,시흥대로268번길 53,9,10,556 ,43197 ,2008-10-20,031-310-2402,2025-07-14
아파트,우남퍼스트빌,능곡동 802,시흥대로268번길 75,7,15,300 ,80396 ,2008-10-21,031-310-2402,2025-07-14
아파트,휴먼시아 5단지,능곡동 557,능곡중앙로 77,9,10,506 ,37893 ,2008-12-01,031-310-2402,2025-07-14
아파트,신안인스빌,능곡동 782,승지로 7,9,12,394 ,67974 ,2008-12-04,031-310-2402,2025-07-14
아파트,휴먼시아 7단지,능곡동 772,승지로 34,9,11,539 ,40162 ,2008-12-15,031-310-2402,2025-07-14
아파트,은하수드림필,신천동 833-9,신천5길 15,1,13,64 ,8638 ,2009-01-29,031-310-2402,2025-07-14
아파트,휴먼시아 6단지,능곡동 768,승지로 33,8,12,438 ,36784 ,2009-04-15,031-310-2402,2025-07-14
아파트,휴먼시아 9단지,능곡동 787,능곡중앙로 34,10,12,591 ,45368 ,2009-04-15,031-310-2402,2025-07-14
아파트,휴먼시아 2단지,능곡동 502,승지로 89,6,12,323 ,25726 ,2009-04-22,031-310-2402,2025-07-14
아파트,유호엔플러스빌 2차,월곶동 1012-1,월곶해안로161번길 25,4,25,298 ,68466 ,2009-05-22,031-310-2402,2025-07-14
아파트,능곡자연앤아파트,능곡동 554,승지로 78,7,15,239 ,37254 ,2009-05-25,031-310-2402,2025-07-14
아파트,신일해피트리,능곡동 712,능곡로 120,8,15,315 ,76825 ,2009-06-11,031-310-2402,2025-07-14
